tt0057028|nm0718106|Gottfried Reinhardt	
tt0057028|nm0912236|Elfriede Warhanek	
tt0057028|nm2861422|Roland Beyer	
tt0057028|nm2868148|Paula Brezina	
tt0057049|nm0865063|Marija Tocinoski	
tt0057200|nm0756340|Mort Sahl	
tt0057765|nm0205156|Michael Davis	
tt0058371|nm0205156|Michael Davis	
tt0058425|nm0206067|Beatrice Dawson	
tt0058679|nm0423959|Ingemar Johansson	
tt0058718|nm0930086|Beresford Williams	
tt0058846|nm0930086|Beresford Williams	
tt0058899|nm0084419|Lilly Bistrattin	
tt0058921|nm1185450|Lachhmandass	
tt0058969|456	
tt0058969|nm0745349	
tt0059209|nm0423959|Ingemar Johansson	
tt0059356|59	
tt0059356|nm0160448|Bill Christmas	
tt0060098|nm0821146|Clem Stadler	
tt0061112|nm0331616|André Hossein	
tt0061438|24	
tt0061438|nm0182648|Claudine Coster	
tt0061438|nm0216123|André Delage	
tt0061438|nm0245190	
tt0061438|nm0245190|Gilles Duvernier	
tt0061438|nm0269721	
tt0061438|nm0332078|Alain Gottvalles	
tt0061438|nm0633687|Noëlle Noblecourt	
tt0061438|nm0693539|Patrice Pouget	
tt0061438|nm0756760|Raoul Saint-Yves	
tt0061438|nm0842232|François Sweerts	
tt0061596|nm0423959|Ingemar Johansson	
tt0061842|nm0814113|Somnath Rangroo	
tt0062574|nm0247963|Bernard Ebbinghouse	
tt0062844|nm0160448|Bill Christmas	
tt0063279|nm1160767|Enrique Zingoni	
tt0063385|nm0371687|James Hayter	
tt0063412|nm0181247|Georg Corten	
tt0063467|nm0247963|Bernard Ebbinghouse	
tt0063827|nm0241899|Angus Duncan	
tt0063951|nm2866618|Michael Barrett	
tt0064511|nm1590025|Muriel Balash	
tt0064557|nm0246884|Wolfgang Dörich	
tt0064967|nm2861422|Roland Beyer	
tt0065069|nm0693539|Patrice Pouget	
tt0065515|nm0216123|André Delage	
tt0066206|nm0615463|Lionel Murton	
tt0066758|nm1214610|Madhup Sharma	
tt0067403|nm1575865|Shreeram	
tt0068259|nm0666470|Antonella Patti	
tt0068305|nm1568687|M. Ashfaq	
tt0069012|nm0111895|Bud Brooks	
tt0069361|nm0208754|Sabina De Guida	
tt0069711|nm1214610|Madhup Sharma	
tt0069871|nm0762779|Suraj Sanim	
tt0069871|nm0814113|Somnath Rangroo	
tt0069871|nm1634488|C. Krishna	
tt0070085|nm1863036|Shin'ichirô Hayashi	
tt0070273|nm1296321|Rudolf Olaszi	
tt0070548|nm0218385|Hedvig Demeter	
tt0070763|nm0266552|Magda Faluhelyi	
tt0070763|nm1296321|Rudolf Olaszi	
tt0070763|nm1355198|Klára Göndör	
tt0070763|nm1816071|Gyula Losonczi	
tt0070763|nm1816176|Béla Mezey	
tt0070763|nm1816222|Imre Márton	
tt0070763|nm1818170	
tt0070763|nm1818170|Judit Fenákel	
tt0070763|nm1839919|József Kontra	
tt0072506|nm3238760|Michelle Major	
tt0072644|nm0208754|Sabina De Guida	
tt0072972|nm0097879|Kartik Basu	
tt0073553|nm0760643|Alfonso San Félix	
tt0073652|nm1751831|Chagan	
tt0073948|nm0617767|Márta Mészáros	
tt0073948|nm0896944|Gyöngyvér Vigh	
tt0074342|nm8059827|Umberto Santolamazza	
tt0074494|nm0675450|Loretta Persichetti	
tt0074744|nm0218385|Hedvig Demeter	
tt0074744|nm0477755	
tt0074744|nm0482102|Péterné Lakatos	
tt0074744|nm0598405|Balázs Monori	
tt0074744|nm0813924|Ferenc Somló	
tt0074979|nm0675450|Loretta Persichetti	
tt0075159|27	
tt0075159|nm0144689	
tt0075159|nm0208754|Sabina De Guida	
tt0075159|nm0595063	
tt0075469|nm1527241|Terry Bale	
